group,res_pc,colname,unit,format,description
CPROPS_stats,60,U<P_turb_CPROPS_sph_60pc>,"K cm-3",".3e","Un-weighted mean CPROPS cloud turbulent pressure @ 60 pc (sphere)"
CPROPS_stats,60,F<P_turb_CPROPS_sph_60pc>,"K cm-3",".3e","Flux-weighted mean CPROPS cloud turbulent pressure @ 60 pc (sphere)"
CPROPS_stats,60,U<P_turb_CPROPS_cyl_60pc>,"K cm-3",".3e","Un-weighted mean CPROPS cloud turbulent pressure @ 60 pc (cylinder)"
CPROPS_stats,60,F<P_turb_CPROPS_cyl_60pc>,"K cm-3",".3e","Flux-weighted mean CPROPS cloud turbulent pressure @ 60 pc (cylinder)"
CPROPS_stats,60,U<alpha_vir_CPROPS_sph_60pc>,"1",".3e","Un-weighted mean CPROPS cloud virial parameter @ 60 pc (sphere)"
CPROPS_stats,60,F<alpha_vir_CPROPS_sph_60pc>,"1",".3e","Flux-weighted mean CPROPS cloud virial parameter @ 60 pc (sphere)"
CPROPS_stats,90,Nobj_CPROPS_90pc,"1",".0f","Number of CPROPS clouds in aperture @ 90 pc"
CPROPS_stats,90,fracF_CPROPS_90pc,"1",".3f","Flux completeness of CPROPS clouds @ 90 pc"
CPROPS_stats,90,U<M_mol_CPROPS_90pc>,"Msun",".3e","Un-weighted mean CPROPS cloud mass @ 90 pc"
CPROPS_stats,90,F<M_mol_CPROPS_90pc>,"Msun",".3e","Flux-weighted mean CPROPS cloud mass @ 90 pc"
CPROPS_stats,90,U<R_CPROPS_90pc>,"pc",".3e","Un-weighted mean CPROPS cloud radius @ 90 pc"
CPROPS_stats,90,F<R_CPROPS_90pc>,"pc",".3e","Flux-weighted mean CPROPS cloud radius @ 90 pc"
CPROPS_stats,90,U<Sigma_mol_CPROPS_90pc>,"Msun pc-2",".3e","Un-weighted mean CPROPS cloud surface density @ 90 pc"
CPROPS_stats,90,F<Sigma_mol_CPROPS_90pc>,"Msun pc-2",".3e","Flux-weighted mean CPROPS cloud surface density @ 90 pc"
CPROPS_stats,90,U<vdisp_mol_CPROPS_90pc>,"km s-1",".3e","Un-weighted mean CPROPS cloud velocity dispersion @ 90 pc"
CPROPS_stats,90,F<vdisp_mol_CPROPS_90pc>,"km s-1",".3e","Flux-weighted mean CPROPS cloud velocity dispersion @ 90 pc"
CPROPS_stats,90,U<P_turb_CPROPS_sph_90pc>,"K cm-3",".3e","Un-weighted mean CPROPS cloud turbulent pressure @ 90 pc (sphere)"
CPROPS_stats,90,F<P_turb_CPROPS_sph_90pc>,"K cm-3",".3e","Flux-weighted mean CPROPS cloud turbulent pressure @ 90 pc (sphere)"
CPROPS_stats,90,U<P_turb_CPROPS_cyl_90pc>,"K cm-3",".3e","Un-weighted mean CPROPS cloud turbulent pressure @ 90 pc (cylinder)"
CPROPS_stats,90,F<P_turb_CPROPS_cyl_90pc>,"K cm-3",".3e","Flux-weighted mean CPROPS cloud turbulent pressure @ 90 pc (cylinder)"
CPROPS_stats,90,U<alpha_vir_CPROPS_sph_90pc>,"1",".3e","Un-weighted mean CPROPS cloud virial parameter @ 90 pc (sphere)"
CPROPS_stats,90,F<alpha_vir_CPROPS_sph_90pc>,"1",".3e","Flux-weighted mean CPROPS cloud virial parameter @ 90 pc (sphere)"
CPROPS_stats,120,Nobj_CPROPS_120pc,"1",".0f","Number of CPROPS clouds in aperture @ 120 pc"
CPROPS_stats,120,fracF_CPROPS_120pc,"1",".3f","Flux completeness of CPROPS clouds @ 120 pc"
CPROPS_stats,120,U<M_mol_CPROPS_120pc>,"Msun",".3e","Un-weighted mean CPROPS cloud mass @ 120 pc"
CPROPS_stats,120,F<M_mol_CPROPS_120pc>,"Msun",".3e","Flux-weighted mean CPROPS cloud mass @ 120 pc"
CPROPS_stats,120,U<R_CPROPS_120pc>,"pc",".3e","Un-weighted mean CPROPS cloud radius @ 120 pc"
CPROPS_stats,120,F<R_CPROPS_120pc>,"pc",".3e","Flux-weighted mean CPROPS cloud radius @ 120 pc"
CPROPS_stats,120,U<Sigma_mol_CPROPS_120pc>,"Msun pc-2",".3e","Un-weighted mean CPROPS cloud surface density @ 120 pc"
CPROPS_stats,120,F<Sigma_mol_CPROPS_120pc>,"Msun pc-2",".3e","Flux-weighted mean CPROPS cloud surface density @ 120 pc"
CPROPS_stats,120,U<vdisp_mol_CPROPS_120pc>,"km s-1",".3e","Un-weighted mean CPROPS cloud velocity dispersion @ 120 pc"
CPROPS_stats,120,F<vdisp_mol_CPROPS_120pc>,"km s-1",".3e","Flux-weighted mean CPROPS cloud velocity dispersion @ 120 pc"
CPROPS_stats,120,U<P_turb_CPROPS_sph_120pc>,"K cm-3",".3e","Un-weighted mean CPROPS cloud turbulent pressure @ 120 pc (sphere)"
CPROPS_stats,120,F<P_turb_CPROPS_sph_120pc>,"K cm-3",".3e","Flux-weighted mean CPROPS cloud turbulent pressure @ 120 pc (sphere)"
CPROPS_stats,120,U<P_turb_CPROPS_cyl_120pc>,"K cm-3",".3e","Un-weighted mean CPROPS cloud turbulent pressure @ 120 pc (cylinder)"
CPROPS_stats,120,F<P_turb_CPROPS_cyl_120pc>,"K cm-3",".3e","Flux-weighted mean CPROPS cloud turbulent pressure @ 120 pc (cylinder)"
CPROPS_stats,120,U<alpha_vir_CPROPS_sph_120pc>,"1",".3e","Un-weighted mean CPROPS cloud virial parameter @ 120 pc (sphere)"
CPROPS_stats,120,F<alpha_vir_CPROPS_sph_120pc>,"1",".3e","Flux-weighted mean CPROPS cloud virial parameter @ 120 pc (sphere)"
CPROPS_stats,150,Nobj_CPROPS_150pc,"1",".0f","Number of CPROPS clouds in aperture @ 150 pc"
CPROPS_stats,150,fracF_CPROPS_150pc,"1",".3f","Flux completeness of CPROPS clouds @ 150 pc"
CPROPS_stats,150,U<M_mol_CPROPS_150pc>,"Msun",".3e","Un-weighted mean CPROPS cloud mass @ 150 pc"
CPROPS_stats,150,F<M_mol_CPROPS_150pc>,"Msun",".3e","Flux-weighted mean CPROPS cloud mass @ 150 pc"
CPROPS_stats,150,U<R_CPROPS_150pc>,"pc",".3e","Un-weighted mean CPROPS cloud radius @ 150 pc"
CPROPS_stats,150,F<R_CPROPS_150pc>,"pc",".3e","Flux-weighted mean CPROPS cloud radius @ 150 pc"
CPROPS_stats,150,U<Sigma_mol_CPROPS_150pc>,"Msun pc-2",".3e","Un-weighted mean CPROPS cloud surface density @ 150 pc"
CPROPS_stats,150,F<Sigma_mol_CPROPS_150pc>,"Msun pc-2",".3e","Flux-weighted mean CPROPS cloud surface density @ 150 pc"
CPROPS_stats,150,U<vdisp_mol_CPROPS_150pc>,"km s-1",".3e","Un-weighted mean CPROPS cloud velocity dispersion @ 150 pc"
CPROPS_stats,150,F<vdisp_mol_CPROPS_150pc>,"km s-1",".3e","Flux-weighted mean CPROPS cloud velocity dispersion @ 150 pc"
CPROPS_stats,150,U<P_turb_CPROPS_sph_150pc>,"K cm-3",".3e","Un-weighted mean CPROPS cloud turbulent pressure @ 150 pc (sphere)"
CPROPS_stats,150,F<P_turb_CPROPS_sph_150pc>,"K cm-3",".3e","Flux-weighted mean CPROPS cloud turbulent pressure @ 150 pc (sphere)"
CPROPS_stats,150,U<P_turb_CPROPS_cyl_150pc>,"K cm-3",".3e","Un-weighted mean CPROPS cloud turbulent pressure @ 150 pc (cylinder)"
CPROPS_stats,150,F<P_turb_CPROPS_cyl_150pc>,"K cm-3",".3e","Flux-weighted mean CPROPS cloud turbulent pressure @ 150 pc (cylinder)"
CPROPS_stats,150,U<alpha_vir_CPROPS_sph_150pc>,"1",".3e","Un-weighted mean CPROPS cloud virial parameter @ 150 pc (sphere)"
CPROPS_stats,150,F<alpha_vir_CPROPS_sph_150pc>,"1",".3e","Flux-weighted mean CPROPS cloud virial parameter @ 150 pc (sphere)"
